backend,model,no,sektor,kl,sub_indikator,gold,pred,benar,status,confidence,summary_pred,source_url_pred,url_dari_search,n_search,latency_s,in_tok,out_tok,queries,error,summary_gold
serper,gemma-4-26B-A4B-it,1,Kesehatan,KEMENTERIAN KESEHATAN,KP 02.12.08 - Kabupaten/kota yang mendeklarasikan 5 Pilar STBM,True,True,True,OK,tinggi,"Program pelaksanaan 5 Pilar STBM berjalan pada tahun 2025, ditandai dengan adanya kegiatan verifikasi lapangan oleh verifikator STBM di tingkat daerah (seperti Kota Malang pada Oktober 2025), pelaksanaan pertemuan implementasi di tingkat kecamatan (seperti di Banyuputih pada Juli 2025), serta adanya pedoman STBM Award 2025 yang ditujukan untuk kabupaten/kota yang telah mendeklarasikan pilar-pilar tersebut.",https://malangkota.go.id/2025/10/01/verifikator-stbm-5-pilar-kunjungi-kota-malang/,True,3,11.66,5989,278,"laporan kinerja 2025 Kementerian Kesehatan STBM 5 pilar kabupaten kota | site:kemkes.go.id ""STBM"" 2025 deklarasi kabupaten kota | ""STBM"" 2025 ""pilar"" kabupaten kota deklarasi",,"Program berjalan, ditandai dengan penetapan alokasi anggaran daerah untuk survei verifikasi 5 pilar dan deklarasi level provinsi/kabupaten/kota."
serper,gemma-4-26B-A4B-it,2,Pertahanan,KEMENTERIAN LUAR NEGERI,KP 02.09.03 - Persentase kebijakan di bidang kerja sama pembangunan internasional Indonesia yang telah sesuai dengan prioritas nasional,True,True,True,OK,tinggi,"Berdasarkan dokumen Laporan Kinerja (LKj) Tahun 2025 dari berbagai unit kerja di Kementerian Luar Negeri (seperti Direktorat Eropa II dan Direktorat Diplomasi Publik), indikator terkait kebijakan kerja sama pembangunan internasional telah masuk dalam pelaporan kinerja tahun berjalan 2025. Dokumen tersebut menunjukkan adanya pelaksanaan kegiatan teknis dan pertanggungjawaban kinerja untuk tahun 2025 yang mencakup sinkronisasi kebijakan kerja sama dengan prioritas nasional.",https://kemlu.go.id/files/repositori/81934/177450796869c4d7c008da3_LKJ_Final_2025.pdf,True,1,4.71,2023,217,laporan kinerja 2025 Kementerian Luar Negeri kerja sama pembangunan internasional prioritas nasional,,"Program berjalan, ditandai dengan pelaksanaan sejumlah aktivitas konkret kerja sama pembangunan internasional oleh Kemlu sepanjang Tahun 2025, seperti pertemuan bilateral dan kesepakatan kerja sama dengan negara mitra di kawasan Pasifik, penyaluran bantuan pangan dan kemanusiaan ke Palestina yang diumumkan langsung oleh Menlu/Wamenlu, serta penyusunan kebijakan turunan (Grand Design dan aturan hibah) yang diselaraskan dengan RPJMN 2025-2029. Aktivitas ini tercatat lewat rilis resmi Kemlu maupun Sekretariat Negara, meskipun angka persentase realisasi kebijakan sesuai prioritas nasional untuk Tahun 2025 belum dipublikasikan secara spesifik."
serper,gemma-4-26B-A4B-it,3,Industri,KEMENTERIAN LUAR NEGERI,"KP 02.09.04 - Persentase keberhasilan promosi, pembentukan norma, dan kesepakatan diplomasi ekonomi terutama pada sektor prioritas",True,True,True,OK,tinggi,"Program diplomasi ekonomi berjalan pada tahun 2025, dibuktikan dengan adanya Laporan Kinerja (LKj) Direktorat Perlindungan WNI/PI 2025 yang mencantumkan realisasi Indikator Kinerja (IK) terkait penguatan peran diplomasi ekonomi, termasuk persentase keberhasilan pembentukan norma dan kesepakatan diplomasi ekonomi.",https://kemlu.go.id/files/repositori/83703/177803416769faa5f717ed8_LKj_PI_2025.pdf,True,2,5.84,3572,241,"laporan kinerja 2025 Kementerian Luar Negeri diplomasi ekonomi sektor prioritas | site:kemlu.go.id ""LKj"" 2025 ""diplomasi ekonomi"" ""persentase keberhasilan""",,"Program berjalan, ditandai dengan penetapan oleh Kemenlu melalui Ditjen Hubungan Ekonomi dan Kerja Sama Pembangunan (HEKSP) terkait indikator ini sebagai indikator kinerja utama dan melaporkan capaiannya dalam Laporan Kinerja Tahun 2025. Realisasi tercatat 93,75 persen terhadap target 80 persen, dengan capaian 117,19 persen, berasal dari 7 norma dan 4 kesepakatan yang terealisasi dari target 8 norma dan 4 kesepakatan. Pelaksanaannya didukung partisipasi Indonesia pada berbagai forum seperti Sidang UNIDO ke-21, KTM UNCTAD ke-16, WTO CTE, WIPO SCCR-47, dan Codex Alimentarius sepanjang 2025."
serper,gemma-4-26B-A4B-it,4,Sosial,KEMENTERIAN LUAR NEGERI,KP 07.16.02 - Indeks Diplomasi Perlindungan WNI di Luar Negeri,True,True,True,OK,tinggi,Terdapat bukti pelaksanaan program melalui dokumen Laporan Kinerja (LKj) Tahun 2025 Kementerian Luar Negeri dan Laporan Keuangan Semester I Tahun 2025 yang menunjukkan adanya aktivitas operasional dan anggaran yang berjalan untuk mendukung fungsi diplomasi dan pelindungan WNI di berbagai perwakilan (seperti KBRI Beijing) sepanjang tahun 2025.,https://kemlu.go.id/files/repositori/81934/177450796869c4d7c008da3_LKJ_Final_2025.pdf,True,2,8.08,3829,238,laporan kinerja 2025 Kementerian Luar Negeri Indeks Diplomasi Perlindungan WNI | laporan kinerja 2025 Kementerian Luar Negeri Indeks Diplomasi Perlindungan WNI di Luar Negeri,,"Program berjalan, ditandai dengan terlaksananya ketiga jalur pembentuk indeks ini sepanjang Tahun 2025 sesuai Manual Indikator Kinerja Dit. PWNI 2025, yaitu diplomasi di forum internasional, pembentukan kebijakan nasional, dan kampanye penyadaran publik. Di jalur internasional, ASEAN mengadopsi Deklarasi tentang Pemberantasan Kejahatan Siber dan Penipuan Daring pada September 2025, yang disambut Indonesia dalam pertemuan Dewan Masyarakat Politik-Keamanan ASEAN pada rangkaian KTT ASEAN ke-47 di Kuala Lumpur, 26-28 Oktober 2025. Di jalur operasional, Pemerintah memulangkan 554 WNI korban TPPO penipuan daring dari Myawaddy, Myanmar, dalam dua tahap pada 18 dan 19 Maret 2025, dengan pengawalan Tim Pelindungan WNI Kemlu bersama KBRI Bangkok dan Yangon serta Hubinter Polri, dan secara agregat 27.768 WNI dipulangkan dari berbagai situasi krisis sepanjang 2025. Di jalur kebijakan nasional, terbit Kepmenlu Nomor 15 Tahun 2025 tentang Penetapan Perwakilan Pelindungan Terpadu serta Perjanjian Kerja Sama Kemlu dengan BPJS Ketenagakerjaan pada 22 Januari 2025. Layanan Kampanye Penyadaran Publik Dit. PWNI juga terdaftar aktif dengan standar pelayanan resmi di SIPPN Kementerian PANRB."
serper,gemma-4-26B-A4B-it,5,Pertahanan,KEMENTERIAN PERTAHANAN,KP 02.01.01 - Persentase pemenuhan alutsista,True,True,True,OK,tinggi,"Program pemenuhan alutsista berjalan pada tahun 2025, ditandai dengan adanya kebijakan arah program nasional Kementerian Pertahanan tahun anggaran 2025 yang berfokus pada penguatan ketahanan dan kemandirian melalui peremajaan serta perawatan sarana alutsista. Hal ini diperkuat dengan adanya regulasi teknis seperti Permenhan No. 19 Tahun 2025 tentang Penyusunan Rencana Kerja dan Anggaran (RKA) yang menjadi dasar pelaksanaan kegiatan teknis di lapangan untuk mencapai target persentase pemenuhan alutsista.",https://ppid.kemhan.go.id/assets/attachments/91706ec3e5e57c083f7acdfe5366e94f.pdf,True,3,8.13,5611,305,"laporan kinerja 2025 Kementerian Pertahanan pemenuhan alutsista | rencana kerja 2025 Kementerian Pertahanan pemenuhan alutsista modernisasi | site:kemhan.go.id ""pemenuhan alutsista"" 2025",,"Program berjalan, ditandai dengan pelaksanaan sejumlah kegiatan modernisasi dan pemenuhan alutsista oleh Kemhan bersama TNI sepanjang Tahun 2025, seperti uji coba alutsista produksi dalam negeri, kelanjutan program alih teknologi untuk pengadaan kapal selam bersama mitra asing, hingga penambahan alutsista baru untuk memperkuat matra udara, yang dipublikasikan lewat rilis resmi di laman kemhan.go.id."
serper,gemma-4-26B-A4B-it,6,Pangan,BADAN KARANTINA INDONESIA,KP 02.10.13 - Persentase wilayah terkendali dari Hama Penyakit Hewan Karantina (HPHK),True,True,True,OK,tinggi,"Program pengendalian HPHK berjalan pada tahun 2025, dibuktikan dengan adanya Laporan Kinerja (LKj) tahun 2025 dari unit kerja Badan Karantina Indonesia (seperti BKHIT Gorontalo dan BBKHIT Papua) yang mencakup pemantauan capaian indikator kinerja sasaran kegiatan (IKSK) dan pelaksanaan tugas pokok dalam mencegah masuk dan tersebarnya HPHK.",https://karantinaindonesia.go.id/repository/main-web/performance-reports/01KWZSR2N3FAYJP3MH0DM9GGED.pdf,True,2,5.12,3814,234,laporan kinerja 2025 Badan Karantina Indonesia persentase wilayah terkendali HPHK | laporan pelaksanaan kegiatan karantina hewan 2025 pengendalian HPHK,,"Program berjalan, ditandai dengan terlaksananya kegiatan pemantauan daerah sebar HPHK sepanjang Tahun 2025 oleh unit pelaksana teknis Badan Karantina Indonesia di berbagai wilayah, yang dituntaskan melalui seminar hasil pemantauan tingkat regional dan nasional bersama dinas peternakan provinsi/kabupaten-kota, akademisi, dan pemangku kepentingan terkait (misalnya di Sumatera Barat dan regional Sulawesi). Pelaksanaan ini juga terkonfirmasi dari dokumen anggaran (RKA/DIPA) yang memuat komponen persiapan, pelaksanaan, dan seminar pemantauan daerah sebar HPHK, serta dari Laporan Kinerja Tahun 2025 UPT Barantin yang dipublikasikan di laman resmi dan PPID Barantin, yang memuat indikator temuan dan tindak lanjut HPHK. Angka nasional persentase wilayah terkendali dari HPHK Tahun 2025 sendiri belum ditemukan dipublikasikan."
serper,gemma-4-26B-A4B-it,7,Infrastruktur,KEMENTERIAN PEKERJAAN UMUM,PP 02.12 - Efisiensi pemanfaatan air irigasi,True,True,True,OK,tinggi,"Program berjalan, ditandai dengan penetapan target efisiensi pemanfaatan air irigasi sebesar 0,34 USD/m3 dalam Rapat Koordinasi Rencana Kerja Tahun 2025 Kementerian PU, serta adanya instruksi pelaksanaan kegiatan Tahun Anggaran 2025 untuk mencapai sasaran tersebut, termasuk implementasi Instruksi Presiden Nomor 02 Tahun 2025 terkait efisiensi air irigasi.",https://pu.go.id/berita/rapat-koordinasi-rencana-kerja-tahun-2025-kementerian-pu-fokus-pada-efisiensi-infrastruktur-untuk-dukung-pertumbuhan-ekonomi,True,2,6.4,3738,263,"laporan kinerja 2025 Kementerian Pekerjaan Umum efisiensi pemanfaatan air irigasi USD/m3 | site:pu.go.id ""efisiensi pemanfaatan air irigasi"" 2025",,"Program berjalan, ditandai dengan terealisasinya pembangunan dan rehabilitasi jaringan irigasi oleh Kementerian PU sepanjang Tahun Anggaran 2025 dengan luas 589.605,80 hektare, serta terkonfirmasinya pelaksanaan pekerjaan fisik rehabilitasi jaringan irigasi di daerah melalui publikasi resmi Kementerian PU sepanjang 2025 (misalnya rehabilitasi tahap II DI Tingal di Temanggung yang progres fisiknya mencapai 60% per akhir September 2025). Target angka indikator sendiri, yaitu 0,34 USD/m³, memang tercantum sebagai sasaran kerja Kementerian PU tahun 2025 di bidang sumber daya air. Angka realisasi efisiensi pemanfaatan air irigasi tahun 2025 dalam satuan USD/m³ belum dipublikasikan, karena Laporan Kinerja Ditjen SDA terbaru yang terbit masih edisi Tahun 2024."
serper,gemma-4-26B-A4B-it,11,Pangan,KEMENTERIAN PERTANIAN,KP 02.10.17 - Produksi vanili,False,True,False,OK,tinggi,"Program peningkatan produksi vanili berjalan pada tahun 2025 melalui Ditjen Perkebunan Kementerian Pertanian, yang ditandai dengan penyaluran bantuan pemerintah untuk mendukung produktivitas dan keberlanjutan usaha perkebunan rakyat, serta adanya data capaian produksi yang dikelola oleh Ditjen Perkebunan.",https://ditjenbun.pertanian.go.id/tag/vanili/,True,2,5.83,3984,179,laporan kinerja 2025 Kementerian Pertanian produksi vanili | site:ditjenbun.pertanian.go.id produksi vanili 2025,,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti publikasi resmi yang menunjukkan adanya program peningkatan produksi vanili berjalan pada Tahun 2025. Realisasi kegiatan pengembangan kawasan tanaman semusim dan rempah Direktorat Jenderal Perkebunan Tahun 2025 diarahkan ke pala, kakao, dan tebu, tanpa vanili. Kegiatan pemerintah bertanggal 2025 yang menyinggung vanili hanya ditemukan pada balai perlindungan perkebunan tingkat provinsi, berupa pelatihan agens pengendali hayati yang sasarannya komoditas lain, sehingga tidak dapat dihitung sebagai intervensi terhadap indikator ini. Angka realisasi produksi vanili Tahun 2025 juga belum dipublikasikan."
serper,gemma-4-26B-A4B-it,12,Pangan,KEMENTERIAN PERTANIAN,KP 02.10.18 - Persentase produksi komoditas pertanian organik terhadap produksi total komoditas pertanian,False,True,False,OK,sedang,"Program pengembangan pertanian organik berjalan pada tahun 2025, ditandai dengan adanya pembaruan standar teknis (SNI 6729:2025) dan upaya fasilitasi sertifikasi pertanian organik oleh Kementerian Pertanian untuk meningkatkan nilai tambah produk. Meskipun laporan capaian angka persentase spesifik untuk tahun 2025 belum tersedia dalam bentuk LKj 2025 (karena tahun berjalan), dokumen teknis dan arah kebijakan menunjukkan kegiatan teknis terkait standarisasi dan pendampingan sistem organik tetap dilaksanakan sebagai bagian dari target RPJMN.",https://repository.pertanian.go.id/bitstreams/f3621f78-1eb3-4237-8e13-79964d467d2c/download,True,3,9.45,5621,305,"laporan kinerja 2025 Kementerian Pertanian persentase produksi komoditas pertanian organik | rencana kerja 2025 Kementerian Pertanian pengembangan pertanian organik | site:pertanian.go.id ""pertanian organik"" 2025",,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti publikasi resmi yang menunjukkan adanya program peningkatan produksi komoditas pertanian organik berjalan pada Tahun 2025. Kegiatan yang ditemukan masih pada tahap penyiapan kebijakan, yaitu diskusi kelompok terarah oleh Badan Perakitan dan Modernisasi Pertanian Kementerian Pertanian pada November 2025, yang justru menyimpulkan perlunya pembentukan Otoritas Kompeten Pangan Organik, reorientasi kebijakan, dan revisi peraturan menteri agar selaras dengan SNI 6729:2025 dan RPJMN 2025-2029. Angka persentase produksi pertanian organik Tahun 2025 belum dipublikasikan."
serper,gemma-4-26B-A4B-it,44,Sosial,KEMENTERIAN SOSIAL,KP 06.03.02 - Jumlah penerima manfaat Kartu Usaha Afirmatif yang berusaha atau bekerja sebagai buruh/karyawan,False,False,True,OK,tinggi,"Berdasarkan hasil penelusuran, Kartu Usaha Afirmatif merupakan program baru yang sedang dalam tahap perencanaan dan persiapan operasional untuk periode RPJMN 2025-2029. Dokumen yang ditemukan (seperti berita rapat tingkat menteri dan draf Renstra) menunjukkan bahwa program ini masih dalam tahap 'penyiapan' dan 'perencanaan' sebagai bagian dari implementasi Asta Cita, namun belum ditemukan bukti pelaksanaan fisik atau laporan capaian realisasi kegiatan di lapangan untuk tahun 2025.",https://www.bangda.kemendagri.go.id/berita/baca_kontent/1578/rapat_tingkat_menteri_bahas_perencanaan_kartu_kesejahteraan_dan_kartu_usaha_afirmatif,True,2,6.94,3609,275,laporan kinerja 2025 Kementerian Sosial jumlah penerima manfaat Kartu Usaha Afirmatif | realisasi program Kartu Usaha Afirmatif Kementerian Sosial 2025,,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti pelaksanaan pada 2025. Saat ini, masih berlangsungnya tahap perencanaan dan penyiapan implementasi hingga awal 2026. Rapat Tingkat Menteri yang dipimpin Menko Pemberdayaan Masyarakat pada 26 September 2025 masih membahas perencanaan Program Kartu Kesejahteraan dan Kartu Usaha Afirmatif sebagai bagian dari Program Hasil Terbaik Cepat, dengan Kemensos menegaskan basis data DTSEN dan Kementerian Koperasi dan UMKM menyiapkan platform SAPA UMKM. Pada 12 Februari 2026, BPKP masih melakukan kajian dan koordinasi lintas perangkat daerah untuk mendukung kesiapan implementasi Program Kartu Kesejahteraan dan Kartu Usaha Afirmatif di daerah. Kartu Usaha Afirmatif juga baru ditetapkan sebagai salah satu Proyek Strategis Nasional baru dalam RKP 2026. Tidak ditemukan publikasi resmi yang menunjukkan adanya penerima manfaat KUA pada 2025, sehingga target 1.000.000 jiwa tahun 2025 belum terverifikasi terlaksana."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,1,Kesehatan,KEMENTERIAN KESEHATAN,KP 02.12.08 - Kabupaten/kota yang mendeklarasikan 5 Pilar STBM,True,True,True,OK,tinggi,"Program STBM 5 Pilar dilaksanakan pada 2025, ditandai dengan verifikasi oleh tim Kementerian Kesehatan bersama Dinas Kesehatan Provinsi Jawa Timur terhadap Kota Malang pada 1 Oktober 2025. Kegiatan ini merupakan bagian dari upaya peningkatan sanitasi dan perilaku higienis masyarakat, sesuai dengan indikator KP 02.12.08. Selain itu, terdapat laporan pembinaan STBM 5 Pilar di bulan Juli 2025 yang menunjukkan aktivitas teknis berkelanjutan.",https://malangkota.go.id/2025/10/01/verifikator-stbm-5-pilar-kunjungi-kota-malang,True,3,19.18,7717,376,laporan kinerja 2025 KEMENTERIAN KESEHATAN STBM 5 pilar deklarasi | KEMENTERIAN KESEHATAN laporan kinerja 2025 STBM 5 pilar deklarasi [site:kemkes.go.id] | KEMENTERIAN KESEHATAN verifikasi STBM 5 pilar 2025 Kota Malang [site:kemkes.go.id],,"Program berjalan, ditandai dengan penetapan alokasi anggaran daerah untuk survei verifikasi 5 pilar dan deklarasi level provinsi/kabupaten/kota."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,2,Pertahanan,KEMENTERIAN LUAR NEGERI,KP 02.09.03 - Persentase kebijakan di bidang kerja sama pembangunan internasional Indonesia yang telah sesuai dengan prioritas nasional,True,False,False,OK,tinggi,"Tidak ditemukan bukti pelaksanaan fisik atau capaian indikator persentase kebijakan kerja sama pembangunan internasional yang sesuai prioritas nasional pada tahun 2025. Meskipun terdapat dokumen Rencana Strategis Kementerian Luar Negeri 2025-2029 yang menyebutkan sinkronisasi kebijakan luar negeri dengan prioritas nasional, tidak ada laporan kinerja tahunan (LKj 2025) atau data capaian tahun 2025 yang menunjukkan pelaksanaan nyata atau progres pengukuran indikator tersebut. Semua sumber hanya menyebutkan rencana atau arahan strategis, bukan realisasi.",https://kemlu.go.id/files/repositori/65385/1763541433691d81b95e937_Permenlu_Nomor_10_Tahun_2025_tentang_Rencana_Strategis_Kementerian_Luar_Negeri_2025_2029.pdf,True,3,21.4,8408,479,laporan kinerja 2025 KEMENTERIAN LUAR NEGERI persentase kebijakan kerja sama pembangunan internasional sesuai prioritas nasional | sinkronisasi kebijakan luar negeri prioritas nasional 2025 KEMENTERIAN LUAR NEGERI [site:kemlu.go.id] | capaian persentase kebijakan kerja sama pembangunan internasional sesuai prioritas nasional 2025 KEMENTERIAN LUAR NEGERI [site:kemlu.go.id],,"Program berjalan, ditandai dengan pelaksanaan sejumlah aktivitas konkret kerja sama pembangunan internasional oleh Kemlu sepanjang Tahun 2025, seperti pertemuan bilateral dan kesepakatan kerja sama dengan negara mitra di kawasan Pasifik, penyaluran bantuan pangan dan kemanusiaan ke Palestina yang diumumkan langsung oleh Menlu/Wamenlu, serta penyusunan kebijakan turunan (Grand Design dan aturan hibah) yang diselaraskan dengan RPJMN 2025-2029. Aktivitas ini tercatat lewat rilis resmi Kemlu maupun Sekretariat Negara, meskipun angka persentase realisasi kebijakan sesuai prioritas nasional untuk Tahun 2025 belum dipublikasikan secara spesifik."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,3,Industri,KEMENTERIAN LUAR NEGERI,"KP 02.09.04 - Persentase keberhasilan promosi, pembentukan norma, dan kesepakatan diplomasi ekonomi terutama pada sektor prioritas",True,True,True,OK,tinggi,"Ada bukti pelaksanaan kegiatan diplomasi ekonomi oleh Kementerian Luar Negeri pada 2025, ditandai dengan pencapaian indikator kinerja spesifik di Laporan Kinerja 2025 Kemlu. Misalnya, tingkat efektivitas diplomasi ekonomi di sektor perdagangan di Kawasan Eropa II mencapai 94,13%, dan di wilayah kerja KJRI Jeddah mencapai 95,55%. Selain itu, Renstra 2025-2029 menyebutkan target kinerja untuk penguatan diplomasi ekonomi di sektor prioritas, menunjukkan kegiatan berjalan sesuai rencana. Capaian ini mencerminkan aktivitas nyata promosi, pembentukan norma, dan kesepakatan diplomasi ekonomi di sektor prioritas selama 2025.",https://kemlu.go.id/files/repositori/65414/177580771769d8ace576a9e_LKj_Direktorat_Eropa_II_2025_Publikasi.pdf,True,3,23.91,8327,500,laporan kinerja 2025 KEMENTERIAN LUAR NEGERI promosi ekonomi norma internasional kesepakatan dagang diplomasi ekonomi sektor prioritas | KEMENTERIAN LUAR NEGERI 2025 persentase keberhasilan diplomasi ekonomi sektor prioritas [site:kemlu.go.id] | KEMENTERIAN LUAR NEGERI 2025 capaian diplomasi ekonomi sektor prioritas persentase keberhasilan promosi norma kesepakatan [site:kemlu.go.id],,"Program berjalan, ditandai dengan penetapan oleh Kemenlu melalui Ditjen Hubungan Ekonomi dan Kerja Sama Pembangunan (HEKSP) terkait indikator ini sebagai indikator kinerja utama dan melaporkan capaiannya dalam Laporan Kinerja Tahun 2025. Realisasi tercatat 93,75 persen terhadap target 80 persen, dengan capaian 117,19 persen, berasal dari 7 norma dan 4 kesepakatan yang terealisasi dari target 8 norma dan 4 kesepakatan. Pelaksanaannya didukung partisipasi Indonesia pada berbagai forum seperti Sidang UNIDO ke-21, KTM UNCTAD ke-16, WTO CTE, WIPO SCCR-47, dan Codex Alimentarius sepanjang 2025."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,4,Sosial,KEMENTERIAN LUAR NEGERI,KP 07.16.02 - Indeks Diplomasi Perlindungan WNI di Luar Negeri,True,False,False,OK,tinggi,"Tidak ditemukan bukti pelaksanaan kegiatan pemerintah untuk Indeks Diplomasi Perlindungan WNI di Luar Negeri pada tahun 2025. Meskipun terdapat dokumen seperti Rencana Kerja 2025 dan matriks kinerja yang menyebutkan indikator tersebut, tidak ada laporan kinerja tahunan (LKj) 2025 dari Kementerian Luar Negeri yang melaporkan capaian atau pelaksanaan fisik kegiatan. Sumber yang muncul hanya menyebutkan target atau rencana, tanpa bukti pelaksanaan teknis atau capaian aktual di lapangan selama 2025.",,False,3,48.63,8264,359,laporan kinerja 2025 KEMENTERIAN LUAR NEGERI indeks diplomasi perlindungan WNI | laporan kinerja 2025 KEMENTERIAN LUAR NEGERI indeks diplomasi perlindungan WNI [site:kemlu.go.id] | Indeks Diplomasi Perlindungan WNI 2025 KEMENTERIAN LUAR NEGERI capaian [site:kemlu.go.id],,"Program berjalan, ditandai dengan terlaksananya ketiga jalur pembentuk indeks ini sepanjang Tahun 2025 sesuai Manual Indikator Kinerja Dit. PWNI 2025, yaitu diplomasi di forum internasional, pembentukan kebijakan nasional, dan kampanye penyadaran publik. Di jalur internasional, ASEAN mengadopsi Deklarasi tentang Pemberantasan Kejahatan Siber dan Penipuan Daring pada September 2025, yang disambut Indonesia dalam pertemuan Dewan Masyarakat Politik-Keamanan ASEAN pada rangkaian KTT ASEAN ke-47 di Kuala Lumpur, 26-28 Oktober 2025. Di jalur operasional, Pemerintah memulangkan 554 WNI korban TPPO penipuan daring dari Myawaddy, Myanmar, dalam dua tahap pada 18 dan 19 Maret 2025, dengan pengawalan Tim Pelindungan WNI Kemlu bersama KBRI Bangkok dan Yangon serta Hubinter Polri, dan secara agregat 27.768 WNI dipulangkan dari berbagai situasi krisis sepanjang 2025. Di jalur kebijakan nasional, terbit Kepmenlu Nomor 15 Tahun 2025 tentang Penetapan Perwakilan Pelindungan Terpadu serta Perjanjian Kerja Sama Kemlu dengan BPJS Ketenagakerjaan pada 22 Januari 2025. Layanan Kampanye Penyadaran Publik Dit. PWNI juga terdaftar aktif dengan standar pelayanan resmi di SIPPN Kementerian PANRB."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,5,Pertahanan,KEMENTERIAN PERTAHANAN,KP 02.01.01 - Persentase pemenuhan alutsista,True,True,True,OK,tinggi,"Program pemenuhan alutsista dilaksanakan pada 2025, ditandai dengan penerimaan sejumlah alutsista baru oleh TNI AU, termasuk jet tempur Rafale dan kapal induk Garibaldi, serta penggantian drone CH4 dengan drone buatan Turki. Informasi ini dikonfirmasi melalui siaran pers resmi CNN Indonesia pada 28 Januari 2025 yang menyebutkan rencana penerimaan alutsista baru oleh TNI AU pada tahun 2025.",https://www.youtube.com/watch?v=jPfv7tdmI-s,True,3,15.67,7344,326,laporan kinerja 2025 KEMENTERIAN PERTAHANAN pemenuhan alutsista | LAKIP 2025 KEMENTERIAN PERTAHANAN pemenuhan alutsista [site:kemhan.go.id] | siaran pers resmi KEMENTERIAN PERTAHANAN 2025 pemenuhan alutsista modernisasi senjata [site:kemhan.go.id],,"Program berjalan, ditandai dengan pelaksanaan sejumlah kegiatan modernisasi dan pemenuhan alutsista oleh Kemhan bersama TNI sepanjang Tahun 2025, seperti uji coba alutsista produksi dalam negeri, kelanjutan program alih teknologi untuk pengadaan kapal selam bersama mitra asing, hingga penambahan alutsista baru untuk memperkuat matra udara, yang dipublikasikan lewat rilis resmi di laman kemhan.go.id."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,6,Pangan,BADAN KARANTINA INDONESIA,KP 02.10.13 - Persentase wilayah terkendali dari Hama Penyakit Hewan Karantina (HPHK),True,False,False,OK,tinggi,"Tidak ditemukan bukti pelaksanaan kegiatan nyata atau capaian fisik terkait persentase wilayah terkendali dari Hama Penyakit Hewan Karantina (HPHK) pada tahun 2025. Meskipun terdapat dokumen Renstra 2025-2029 dan Laporan Kinerja yang menyebut indikator tersebut, tidak ada data capaian aktual atau laporan pelaksanaan kegiatan di lapangan yang menunjukkan realisasi pada tahun 2025. Dokumen yang muncul hanya berisi rencana strategis atau target, bukan laporan realisasi. Tidak ada sumber resmi yang melaporkan capaian fisik atau pelaksanaan teknis program pada 2025.",,False,3,16.18,7293,381,laporan kinerja 2025 badan karantina indonesia persentase wilayah terkendali hama penyakit hewan karantina | laporan kinerja 2025 badan karantina indonesia HPHK wilayah terkendali [site:karantinaindonesia.go.id] | capaian persentase wilayah terkendali HPHK 2025 badan karantina indonesia [site:karantinaindonesia.go.id],,"Program berjalan, ditandai dengan terlaksananya kegiatan pemantauan daerah sebar HPHK sepanjang Tahun 2025 oleh unit pelaksana teknis Badan Karantina Indonesia di berbagai wilayah, yang dituntaskan melalui seminar hasil pemantauan tingkat regional dan nasional bersama dinas peternakan provinsi/kabupaten-kota, akademisi, dan pemangku kepentingan terkait (misalnya di Sumatera Barat dan regional Sulawesi). Pelaksanaan ini juga terkonfirmasi dari dokumen anggaran (RKA/DIPA) yang memuat komponen persiapan, pelaksanaan, dan seminar pemantauan daerah sebar HPHK, serta dari Laporan Kinerja Tahun 2025 UPT Barantin yang dipublikasikan di laman resmi dan PPID Barantin, yang memuat indikator temuan dan tindak lanjut HPHK. Angka nasional persentase wilayah terkendali dari HPHK Tahun 2025 sendiri belum ditemukan dipublikasikan."
